Ceilometer Vaisala CL31. 5 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version del codigo: 201605  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Hora.decimal  MLH(m)
0.000         430.0 
0.167         440.0 
0.333         470.0 
0.500         510.0 
0.667         520.0 
0.833         530.0 
1.000         530.0 
1.167         540.0 
1.333         550.0 
1.500         550.0 
1.667         560.0 
1.833         570.0 
2.000         590.0 
2.167         610.0 
2.333         2530.0 
2.500         620.0 
2.667         600.0 
2.833         590.0 
3.000         570.0 
3.167         540.0 
3.333         530.0 
3.500         540.0 
3.667         540.0 
3.833         540.0 
4.000         540.0 
4.167         530.0 
4.333         520.0 
4.500         510.0 
4.667         500.0 
4.833         490.0 
5.000         480.0 
5.167         460.0 
5.333         450.0 
5.500         450.0 
5.667         450.0 
5.833         450.0 
6.000         440.0 
6.167         430.0 
6.333         420.0 
6.500         410.0 
6.667         410.0 
6.833         410.0 
7.000         400.0 
7.167         410.0 
7.333         440.0 
7.500         490.0 
7.667         510.0 
7.833         520.0 
8.000         530.0 
8.167         540.0 
8.333         550.0 
8.500         360.0 
8.667         360.0 
8.833         360.0 
9.000         360.0 
9.167         590.0 
9.333         590.0 
9.500         590.0 
9.667         590.0 
9.833         580.0 
10.000         580.0 
10.167         580.0 
10.333         590.0 
10.500         620.0 
10.667         650.0 
10.833         670.0 
11.000         680.0 
11.167         690.0 
11.333         750.0 
11.500         790.0 
11.667         800.0 
11.833         800.0 
12.000         840.0 
12.167         940.0 
12.333         950.0 
12.500         920.0 
12.667         2220.0 
12.833         2220.0 
13.000         2790.0 
13.167         2800.0 
13.333         2810.0 
13.500         1560.0 
13.667         1570.0 
13.833         1580.0 
14.000         2050.0 
14.167         2050.0 
14.333         2050.0 
14.500         2050.0 
14.667         2050.0 
14.833         2050.0 
15.000         2350.0 
15.167         2350.0 
15.333         2350.0 
15.500         2340.0 
15.667         2320.0 
15.833         2380.0 
16.000         2470.0 
16.167         2510.0 
16.333         2550.0 
16.500         2550.0 
16.667         2550.0 
16.833         2550.0 
17.000         2550.0 
17.167         2180.0 
17.333         2160.0 
17.500         2140.0 
17.667         2130.0 
17.833         2120.0 
18.000         2260.0 
18.167         2470.0 
18.333         2480.0 
18.500         2490.0 
18.667         2210.0 
18.833         2190.0 
19.000         2160.0 
19.167         2130.0 
19.333         2550.0 
19.500         2560.0 
19.667         540.0 
19.833         520.0 
20.000         490.0 
20.167         460.0 
20.333         1870.0 
20.500         1880.0 
20.667         1880.0 
20.833         2110.0 
21.000         540.0 
21.167         530.0 
21.333         470.0 
21.500         480.0 
21.667         500.0 
21.833         510.0 
22.000         1170.0 
22.167         1160.0 
22.333         1150.0 
22.500         1150.0 
22.667         1130.0 
22.833         1140.0 
23.000         1170.0 
23.167         1200.0 
23.333         1210.0 
23.500         1230.0 
23.667         1250.0 
23.833         1260.0 
