Ceilometer Vaisala CL31. 5 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version del codigo: 201605  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Hora.decimal  MLH(m)
0.000         1430.0 
0.167         1460.0 
0.333         1520.0 
0.500         1530.0 
0.667         1520.0 
0.833         1500.0 
1.000         1490.0 
1.167         1460.0 
1.333         1830.0 
1.500         1840.0 
1.667         1850.0 
1.833         1840.0 
2.000         1810.0 
2.167         1820.0 
2.333         2950.0 
2.500         1980.0 
2.667         1550.0 
2.833         1420.0 
3.000         1460.0 
3.167         1480.0 
3.333         1460.0 
3.500         1440.0 
3.667         1650.0 
3.833         1230.0 
4.000         3270.0 
4.167         1920.0 
4.333         1230.0 
4.500         1430.0 
4.667         1520.0 
4.833         1560.0 
5.000         1580.0 
5.167         1590.0 
5.333         1600.0 
5.500         1600.0 
5.667         1590.0 
5.833         1590.0 
6.000         1590.0 
6.167         1490.0 
6.333         1360.0 
6.500         1430.0 
6.667         1470.0 
6.833         1660.0 
7.000         1620.0 
7.167         1570.0 
7.333         1520.0 
7.500         1520.0 
7.667         1410.0 
7.833         2900.0 
8.000         3580.0 
8.167         550.0 
8.333         nan 
8.500         280.0 
8.667         300.0 
8.833         300.0 
9.000         280.0 
9.167         590.0 
9.333         600.0 
9.500         3430.0 
9.667         4080.0 
9.833         4030.0 
10.000         3660.0 
10.167         630.0 
10.333         3610.0 
10.500         3860.0 
10.667         4020.0 
10.833         680.0 
11.000         690.0 
11.167         730.0 
11.333         800.0 
11.500         3550.0 
11.667         3680.0 
11.833         850.0 
12.000         900.0 
12.167         920.0 
12.333         900.0 
12.500         830.0 
12.667         760.0 
12.833         760.0 
13.000         830.0 
13.167         1030.0 
13.333         1180.0 
13.500         1190.0 
13.667         1130.0 
13.833         1080.0 
14.000         1050.0 
14.167         750.0 
14.333         580.0 
14.500         520.0 
14.667         580.0 
14.833         680.0 
15.000         670.0 
15.167         580.0 
15.333         510.0 
15.500         400.0 
15.667         2180.0 
15.833         2080.0 
16.000         2130.0 
16.167         2260.0 
16.333         2210.0 
16.500         2210.0 
16.667         2120.0 
16.833         2010.0 
17.000         1950.0 
17.167         2150.0 
17.333         2130.0 
17.500         1860.0 
17.667         2110.0 
17.833         1840.0 
18.000         1870.0 
18.167         1990.0 
18.333         2210.0 
18.500         2000.0 
18.667         2160.0 
18.833         1800.0 
19.000         2110.0 
19.167         2070.0 
19.333         1470.0 
19.500         1450.0 
19.667         1460.0 
19.833         1490.0 
20.000         1540.0 
20.167         1580.0 
20.333         1890.0 
20.500         1910.0 
20.667         2100.0 
20.833         2130.0 
21.000         1890.0 
21.167         2090.0 
21.333         790.0 
21.500         820.0 
21.667         800.0 
21.833         820.0 
22.000         870.0 
22.167         820.0 
22.333         520.0 
22.500         420.0 
22.667         1150.0 
22.833         1160.0 
23.000         1190.0 
23.167         1220.0 
23.333         930.0 
23.500         1260.0 
23.667         950.0 
23.833         960.0 
