Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         930 
0.167         950 
0.333         590 
0.500         630 
0.667         700 
0.833         990 
1.000         770 
1.167         800 
1.333         860 
2.833         2120 
3.000         2110 
3.167         2110 
3.333         2090 
3.500         1650 
3.667         1560 
3.833         1540 
4.000         1890 
4.167         1950 
4.333         1990 
4.500         2020 
4.667         2020 
4.833         1990 
5.000         1950 
5.167         1920 
5.333         1630 
5.500         1900 
5.667         1880 
5.833         1590 
6.000         1800 
6.167         1650 
6.333         1530 
6.500         1480 
6.667         1700 
6.833         1700 
7.000         1430 
7.167         1690 
7.333         1680 
7.500         1440 
7.667         1490 
7.833         480 
8.000         470 
8.167         470 
9.000         470 
9.167         470 
9.333         470 
9.500         290 
9.667         290 
9.833         290 
10.000         290 
10.167         290 
10.333         1870 
10.500         1960 
10.667         1990 
10.833         1970 
11.000         1880 
11.167         1590 
11.333         1680 
11.500         2050 
11.667         1650 
11.833         1680 
12.000         1600 
12.167         1620 
12.333         2220 
12.500         2230 
12.667         2230 
12.833         290 
13.000         2200 
13.167         2010 
13.333         2060 
13.500         2040 
13.667         1960 
13.833         1850 
14.000         1870 
14.167         1890 
14.333         1590 
14.500         1600 
14.667         2020 
14.833         1630 
15.000         1650 
15.167         1690 
15.333         1850 
15.500         1900 
15.833         1970 
16.000         1980 
16.167         2000 
16.333         480 
16.500         2270 
16.667         2270 
16.833         2270 
17.000         2280 
17.167         2300 
17.333         2320 
17.500         2330 
17.667         2320 
17.833         2300 
18.000         2270 
18.167         1930 
18.333         1930 
18.500         1920 
18.667         1600 
18.833         1510 
19.000         1640 
19.167         1350 
19.333         1330 
19.500         1350 
19.667         1420 
19.833         1630 
20.000         1580 
20.167         1520 
20.333         1500 
20.500         1570 
20.667         1630 
20.833         1360 
21.000         1660 
21.167         1640 
21.333         1620 
21.500         1630 
21.667         1310 
21.833         1650 
22.000         1630 
22.167         1270 
22.333         1480 
22.500         1350 
22.667         1890 
22.833         1830 
23.000         1990 
23.167         1780 
23.333         2000 
23.500         1360 
23.667         1820 
23.833         1510 
