Ceilometer Vaisala CL31. 10 min averages in UNAM
MLH from Gradient method. Espectroscopia y Percepcion Remota, CCA-UNAM
Version: 201801  http://www.atmosfera.unam.mx/espectroscopia/ceilo/
Decimal.hour  MLH(m)
0.000         1460 
0.167         1470 
0.333         2400 
0.500         1130 
0.667         1130 
0.833         1140 
1.000         1140 
1.167         1140 
1.333         1130 
1.500         1100 
1.667         1090 
1.833         1090 
2.000         1480 
2.167         1470 
2.333         1460 
2.500         1690 
2.667         1680 
2.833         1670 
3.000         1660 
3.167         2180 
3.333         2190 
3.500         1550 
3.667         1560 
3.833         1560 
4.000         960 
4.167         970 
4.333         1980 
4.500         1980 
4.667         1970 
4.833         1970 
5.000         1960 
5.167         1960 
5.333         1000 
5.500         1000 
5.667         1000 
5.833         990 
6.000         760 
6.167         2580 
6.333         2560 
6.500         2570 
6.667         2590 
6.833         2620 
7.000         2640 
7.167         2650 
7.333         2660 
7.500         2670 
7.667         2670 
7.833         3090 
8.000         3060 
8.167         3710 
8.333         3740 
8.500         3760 
8.667         2520 
8.833         2520 
9.000         2500 
9.167         2480 
9.333         2460 
9.500         2440 
9.667         2420 
9.833         2390 
10.000         2370 
10.167         2340 
10.333         2300 
10.500         2290 
10.667         2310 
10.833         3740 
11.000         3740 
11.167         1470 
11.333         1460 
11.500         1450 
11.667         1440 
11.833         1440 
12.000         1440 
12.167         1440 
12.333         3720 
12.500         3700 
12.667         3400 
12.833         3410 
13.000         1790 
13.167         1800 
13.333         1800 
13.500         1790 
13.667         1780 
13.833         1790 
14.000         1830 
14.167         1850 
14.333         1860 
14.500         1850 
14.667         1840 
14.833         1830 
15.000         1820 
15.167         1740 
15.333         1700 
15.500         1480 
15.667         1490 
15.833         1490 
16.000         1820 
16.167         1810 
16.333         1810 
16.500         1810 
16.667         1810 
16.833         1800 
17.000         1800 
17.167         1800 
17.333         1810 
17.500         1820 
17.667         1830 
17.833         1830 
18.000         1800 
18.167         1770 
18.333         1790 
18.500         1820 
18.667         1830 
18.833         1840 
19.000         1850 
19.167         1870 
19.333         1910 
19.500         1930 
19.667         1940 
19.833         1950 
20.000         1960 
20.167         1960 
20.333         1950 
20.500         1930 
20.667         1930 
20.833         1920 
21.000         1920 
21.167         1920 
21.333         1920 
21.500         1930 
21.667         1950 
21.833         1980 
22.000         2270 
22.167         2270 
22.333         2270 
22.500         2280 
22.667         2310 
22.833         2680 
23.000         2680 
23.167         2670 
23.333         2670 
23.500         3670 
23.667         3670 
23.833         3670 
