Hora/Mes	Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Sept	Octubre	Nov	Diciembre
0       	873.0	891.0	909.0	855.0	959.0	1052.0	1046.0	1123.0	934.0	856.0	985.0	980.0
1	        853.0	826.0	787.0	782.0	872.0	967.0	958.0	1002.0	828.0	855.0	909.0	818.0
2	        810.0	806.0	742.0	718.0	877.0	894.0	863.0	903.0	754.0	841.0	803.0	784.0
3	        776.0	727.0	708.0	682.0	832.0	835.0	796.0	818.0	753.0	754.0	765.0	728.0
4	        737.0	661.0	652.0	625.0	766.0	836.0	743.0	786.0	729.0	686.0	706.0	679.0
5	        704.0	639.0	594.0	598.0	711.0	741.0	793.0	749.0	652.0	642.0	671.0	654.0
6	        638.0	596.0	578.0	650.0	664.0	681.0	697.0	715.0	712.0	609.0	624.0	631.0
7	        678.0	658.0	627.0	702.0	655.0	669.0	644.0	686.0	665.0	655.0	668.0	641.0
8	        818.0	765.0	699.0	687.0	608.0	709.0	702.0	717.0	673.0	599.0	655.0	707.0
9	        925.0	762.0	681.0	864.0	755.0	903.0	874.0	865.0	832.0	696.0	590.0	712.0
10	        820.0	846.0	966.0	1449.0	1294.0	1248.0	1163.0	1175.0	1115.0	954.0	739.0	720.0
11	        1095.0	1362.0	1652.0	2010.0	1860.0	1612.0	1496.0	1558.0	1554.0	1344.0	1120.0	1042.0
12       	1677.0	1926.0	2150.0	2325.0	2187.0	1964.0	1875.0	1907.0	1774.0	1733.0	1597.0	1620.0
13      	2138.0	2298.0	2419.0	2508.0	2379.0	2217.0	2024.0	2096.0	1970.0	2035.0	1881.0	2028.0
14		2463.0	2518.0	2636.0	2654.0	2559.0	2390.0	2202.0	2224.0	2130.0	2315.0	2118.0	2365.0
15		2527.0	2578.0	2687.0	2723.0	2640.0	2504.0	2359.0	2380.0	2249.0	2443.0	2276.0	2396.0
16		2524.0	2595.0	2687.0	2617.0	2630.0	2512.0	2338.0	2414.0	2295.0	2423.0	2238.0	2357.0
17		2168.0	2414.0	2513.0	2326.0	2525.0	2348.0	2264.0	2215.0	2145.0	2219.0	2073.0	2025.0
18		1670.0	1958.0	1959.0	1887.0	2310.0	2171.0	2033.0	2052.0	1951.0	1859.0	1844.0	1641.0
19		1410.0	1479.0	1492.0	1517.0	1802.0	1800.0	1802.0	1724.0	1689.0	1576.0	1720.0	1322.0
20		1298.0	1287.0	1299.0	1157.0	1505.0	1577.0	1639.0	1570.0	1462.0	1409.0	1461.0	1182.0
21		1167.0	1171.0	1168.0	1082.0	1299.0	1367.0	1619.0	1445.0	1367.0	1210.0	1269.0	1199.0
22		1047.0	1069.0	1027.0	1006.0	1162.0	1237.0	1326.0	1391.0	1174.0	1151.0	1204.0	1077.0
23		999.0	945.0	961.0	921.0	1029.0	1134.0	1365.0	1229.0	992.0	937.0	1071.0	1038.0
